Date,Colombo Wholesale Price,Colombo Retail Price,Dampulla Wholesale Price,Dampulla Retail Price,Jaffna Wholesale Price,Jaffna Retail Price,Vavuniya Wholesale Price,Vavuniya Retail Price,Kilinochchi Wholesale Price,Kilinochchi Retail Price,Mullaitivu Wholesale Price,Mullaitivu Retail Price,Galle Wholesale Price,Galle Retail Price,Kandy Wholesale Price,Kandy Retail Price,Gampaha Wholesale Price,Gampaha Retail Price,Kurunegala Wholesale Price,Kurunegala Retail Price,Anuradhapura Wholesale Price,Anuradhapura Retail Price,Matara Wholesale Price,Matara Retail Price,Polonnaruwa Wholesale Price,Polonnaruwa Retail Price,Badulla Wholesale Price,Badulla Retail Price,Mannar Wholesale Price,Mannar Retail Price,Kalutara Wholesale Price,Kalutara Retail Price,Batticaloa Wholesale Price,Batticaloa Retail Price,Ratnapura Wholesale Price,Ratnapura Retail Price,Trincomalee Wholesale Price,Trincomalee Retail Price,Hambantota Wholesale Price,Hambantota Retail Price,Nuwara Eliya Wholesale Price,Nuwara Eliya Retail Price,Kegalle Wholesale Price,Kegalle Retail Price,Monaragala Wholesale Price,Monaragala Retail Price,Ampara Wholesale Price,Ampara Retail Price,Puttalam Wholesale Price,Puttalam Retail Price
Date,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-04-24,Rs. 55,Rs. 140,Rs. 45,Rs. 110,Rs. 70,Rs. 65,-,Rs. 150,-,Rs. 190,-,-,-,Rs. 130,Rs. 55,Rs. 110,-,Rs. 130,-,Rs. 140,-,Rs. 130,-,Rs. 95,-,Rs. 125,-,Rs. 140,-,Rs. 140,-,Rs. 130,-,Rs. 120,-,Rs. 115,-,Rs. 165,Rs. 95,Rs. 135,Rs. 70,Rs. 155,-,Rs. 190,-,Rs. 180,-,Rs. 120,-,Rs. 180
2023-04-03,Rs. 50,-,Rs. 33,-,-,-,-,-,-,-,-,-,-,-,Rs. 55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Rs. 70,-,Rs. 38,-,-,-,-,-,-,-,-,-
2023-03-27,Rs. 50,Rs. 120,Rs. 35,Rs. 130,Rs. 70,Rs. 65,-,Rs. 150,-,Rs. 145,-,-,-,Rs. 90,Rs. 55,Rs. 110,-,Rs. 140,-,Rs. 140,-,Rs. 120,-,Rs. 110,-,Rs. 95,-,Rs. 135,-,Rs. 140,-,Rs. 130,-,Rs. 170,-,Rs. 125,-,Rs. 145,Rs. 75,Rs. 110,Rs. 40,Rs. 110,-,Rs. 150,-,Rs. 150,-,Rs. 140,-,Rs. 200
2023-03-20,Rs. 50,Rs. 150,Rs. 33,Rs. 110,Rs. 70,Rs. 85,-,Rs. 135,-,Rs. 145,-,-,-,Rs. 120,Rs. 45,Rs. 110,-,Rs. 120,-,Rs. 170,-,Rs. 130,-,Rs. 130,-,Rs. 100,-,Rs. 150,-,Rs. 140,-,Rs. 130,-,Rs. 190,-,Rs. 150,-,Rs. 140,Rs. 75,Rs. 115,Rs. 63,Rs. 145,-,Rs. 150,-,Rs. 140,-,Rs. 160,-,Rs. 195
2023-03-13,Rs. 60,Rs. 140,Rs. 48,Rs. 130,Rs. 130,Rs. 150,-,Rs. 140,-,Rs. 130,-,-,-,Rs. 190,Rs. 65,Rs. 130,-,Rs. 140,-,Rs. 170,-,Rs. 140,-,Rs. 150,-,Rs. 110,-,Rs. 170,-,Rs. 165,-,Rs. 130,-,Rs. 145,-,Rs. 190,-,Rs. 160,Rs. 75,Rs. 140,Rs. 75,Rs. 155,-,Rs. 150,-,Rs. 180,-,Rs. 180,-,Rs. 175
2023-03-06,Rs. 95,Rs. 170,Rs. 55,Rs. 170,Rs. 115,Rs. 125,-,Rs. 185,-,Rs. 190,-,-,-,Rs. 190,Rs. 75,Rs. 170,-,Rs. 180,-,Rs. 180,-,Rs. 150,-,Rs. 190,-,Rs. 110,-,Rs. 220,-,Rs. 190,-,Rs. 130,-,Rs. 170,-,Rs. 160,-,Rs. 173,Rs. 115,Rs. 180,Rs. 115,Rs. 190,-,Rs. 180,-,Rs. 190,-,Rs. 220,-,Rs. 180
2023-02-27,Rs. 115,Rs. 195,Rs. 60,Rs. 210,Rs. 115,Rs. 145,-,Rs. 165,-,Rs. 210,-,-,-,Rs. 190,Rs. 105,Rs. 190,-,Rs. 220,-,Rs. 190,-,Rs. 200,-,Rs. 190,-,Rs. 190,-,Rs. 220,-,Rs. 190,-,Rs. 210,-,Rs. 200,-,Rs. 200,-,Rs. 165,Rs. 135,Rs. 210,Rs. 105,Rs. 210,-,Rs. 180,-,Rs. 180,-,Rs. 220,-,Rs. 220
2023-02-20,Rs. 135,Rs. 240,Rs. 100,Rs. 210,Rs. 130,Rs. 150,-,Rs. 220,-,-,-,-,-,Rs. 190,Rs. 125,Rs. 220,-,Rs. 240,-,Rs. 230,-,Rs. 220,-,Rs. 220,-,Rs. 190,-,Rs. 230,-,Rs. 275,-,Rs. 210,-,Rs. 200,-,Rs. 200,-,Rs. 210,Rs. 160,Rs. 210,Rs. 165,Rs. 230,-,Rs. 230,-,Rs. 220,-,Rs. 230,-,Rs. 260
2023-02-13,Rs. 130,Rs. 220,Rs. 155,Rs. 190,Rs. 120,Rs. 140,-,Rs. 225,-,-,-,-,-,Rs. 220,Rs. 175,Rs. 290,-,Rs. 240,-,Rs. 180,-,Rs. 220,-,Rs. 210,-,Rs. 190,-,Rs. 230,-,Rs. 275,-,Rs. 190,-,Rs. 260,-,Rs. 200,-,Rs. 255,Rs. 165,Rs. 190,Rs. 110,Rs. 210,-,Rs. 230,-,Rs. 260,-,Rs. 220,-,Rs. 220
2023-02-06,Rs. 135,Rs. 200,Rs. 105,Rs. 180,Rs. 155,Rs. 170,-,Rs. 200,-,-,-,-,-,Rs. 150,Rs. 135,Rs. 250,-,Rs. 180,-,Rs. 170,-,Rs. 200,-,Rs. 200,-,Rs. 190,-,Rs. 220,-,Rs. 220,-,Rs. 170,-,Rs. 110,-,Rs. 165,-,Rs. 183,Rs. 160,Rs. 235,Rs. 125,Rs. 235,-,Rs. 170,-,Rs. 240,-,Rs. 220,-,Rs. 220
Date,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-01-30,Rs. 125,Rs. 200,Rs. 100,Rs. 170,Rs. 155,Rs. 170,-,Rs. 200,-,-,-,-,-,Rs. 170,Rs. 105,Rs. 250,-,Rs. 130,-,Rs. 200,-,Rs. 180,-,Rs. 140,-,Rs. 190,-,Rs. 150,-,Rs. 190,-,Rs. 190,-,Rs. 265,-,Rs. 200,-,Rs. 145,Rs. 155,Rs. 200,Rs. 110,Rs. 210,-,Rs. 190,-,Rs. 190,-,Rs. 220,-,Rs. 180
2023-01-23,Rs. 105,Rs. 200,Rs. 90,Rs. 180,Rs. 115,Rs. 135,-,Rs. 200,-,-,-,-,-,Rs. 175,Rs. 95,Rs. 220,-,Rs. 180,-,Rs. 210,-,Rs. 180,-,Rs. 220,-,Rs. 185,-,Rs. 180,-,Rs. 190,-,Rs. 190,-,Rs. 245,-,Rs. 230,-,Rs. 170,Rs. 155,Rs. 200,Rs. 130,Rs. 210,-,Rs. 230,-,Rs. 220,-,Rs. 220,-,Rs. 180
2023-01-16,Rs. 110,Rs. 220,Rs. 100,Rs. 190,Rs. 115,Rs. 135,-,Rs. 160,-,-,-,-,-,Rs. 180,Rs. 125,Rs. 220,-,Rs. 180,-,Rs. 200,-,Rs. 180,-,Rs. 210,-,Rs. 185,-,Rs. 180,-,Rs. 190,-,Rs. 190,-,Rs. 230,-,Rs. 190,-,Rs. 170,Rs. 150,Rs. 220,Rs. 125,Rs. 210,-,Rs. 190,-,Rs. 180,-,Rs. 220,-,Rs. 200
2023-01-09,Rs. 110,Rs. 195,Rs. 78,Rs. 180,Rs. 105,Rs. 110,-,Rs. 240,-,-,-,-,-,Rs. 150,Rs. 95,Rs. 220,-,Rs. 200,-,Rs. 180,-,Rs. 160,-,Rs. 160,-,Rs. 170,-,Rs. 180,-,Rs. 170,-,Rs. 170,-,-,-,Rs. 190,-,Rs. 150,Rs. 105,Rs. 140,Rs. 110,Rs. 190,-,Rs. 170,-,Rs. 220,-,Rs. 200,-,Rs. 190
2023-01-02,Rs. 70,Rs. 170,Rs. 120,Rs. 190,Rs. 75,Rs. 100,-,Rs. 270,-,-,-,-,-,Rs. 170,Rs. 95,Rs. 220,-,Rs. 180,-,Rs. 220,-,Rs. 160,-,Rs. 110,-,Rs. 170,-,Rs. 150,-,Rs. 170,-,Rs. 170,-,Rs. 220,-,Rs. 120,-,Rs. 175,Rs. 85,Rs. 120,Rs. 110,Rs. 190,-,Rs. 190,-,Rs. 180,-,-,-,Rs. 175
2022-12-26,Rs. 60,Rs. 170,Rs. 70,Rs. 130,Rs. 75,Rs. 100,-,Rs. 190,-,-,-,-,-,Rs. 510,Rs. 65,Rs. 130,-,Rs. 140,-,Rs. 145,-,Rs. 140,-,Rs. 110,-,Rs. 130,-,Rs. 140,-,Rs. 170,-,Rs. 125,-,Rs. 190,-,Rs. 150,-,Rs. 160,Rs. 70,Rs. 110,Rs. 85,Rs. 190,-,Rs. 130,Rs. 90,Rs. 150,-,-,-,Rs. 180
2022-12-19,Rs. 50,Rs. 160,Rs. 45,Rs. 150,Rs. 75,Rs. 100,-,Rs. 200,-,-,-,-,-,Rs. 160,Rs. 65,Rs. 130,-,Rs. 170,-,Rs. 140,-,Rs. 140,-,Rs. 90,-,Rs. 105,-,Rs. 150,-,Rs. 170,-,Rs. 150,-,Rs. 210,-,Rs. 150,-,Rs. 200,Rs. 65,Rs. 100,Rs. 85,Rs. 170,-,Rs. 130,Rs. 85,Rs. 140,-,-,-,Rs. 190
2022-12-12,Rs. 45,Rs. 150,Rs. 65,Rs. 150,Rs. 115,Rs. 150,-,Rs. 155,-,-,-,-,-,Rs. 170,Rs. 55,Rs. 110,-,Rs. 140,-,Rs. 140,-,Rs. 160,-,Rs. 115,-,Rs. 105,-,Rs. 140,-,Rs. 170,-,Rs. 170,-,-,-,Rs. 150,-,Rs. 200,Rs. 70,Rs. 110,Rs. 75,Rs. 155,-,Rs. 130,-,Rs. 180,-,-,-,Rs. 135
2022-12-05,Rs. 55,Rs. 140,Rs. 23,Rs. 110,Rs. 115,Rs. 150,-,Rs. 155,-,-,-,-,-,Rs. 160,Rs. 55,Rs. 110,-,Rs. 130,-,Rs. 170,-,Rs. 120,-,Rs. 80,-,Rs. 100,-,Rs. 150,-,Rs. 170,-,Rs. 130,-,Rs. 220,-,Rs. 160,-,Rs. 140,Rs. 55,Rs. 90,Rs. 75,Rs. 145,-,Rs. 130,-,Rs. 180,-,-,-,Rs. 135
2022-11-28,Rs. 60,Rs. 150,Rs. 55,Rs. 150,Rs. 90,Rs. 110,-,Rs. 110,-,-,-,-,-,Rs. 140,Rs. 65,Rs. 110,-,Rs. 140,-,Rs. 145,-,Rs. 130,-,Rs. 105,-,Rs. 110,-,Rs. 150,-,Rs. 170,-,Rs. 170,-,Rs. 155,-,Rs. 160,-,Rs. 165,Rs. 75,Rs. 125,Rs. 80,Rs. 150,-,Rs. 150,-,Rs. 220,-,-,-,Rs. 160
Date,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-11-21,Rs. 60,Rs. 140,Rs. 48,Rs. 130,Rs. 95,Rs. 135,-,Rs. 180,-,-,-,-,-,Rs. 190,Rs. 75,Rs. 110,-,Rs. 160,-,Rs. 140,-,Rs. 130,-,Rs. 90,-,Rs. 110,-,Rs. 130,-,Rs. 130,-,Rs. 150,-,Rs. 130,-,Rs. 190,-,Rs. 150,Rs. 85,Rs. 120,Rs. 75,Rs. 155,-,Rs. 130,-,Rs. 180,-,-,-,Rs. 165
2022-11-14,Rs. 50,Rs. 150,Rs. 25,Rs. 110,Rs. 95,Rs. 135,-,Rs. 200,-,-,-,-,-,Rs. 180,Rs. 55,Rs. 90,-,Rs. 140,-,Rs. 150,-,Rs. 130,-,Rs. 105,-,Rs. 100,-,Rs. 140,-,Rs. 130,-,Rs. 130,-,Rs. 265,-,Rs. 170,-,Rs. 120,Rs. 85,Rs. 110,Rs. 55,Rs. 95,-,Rs. 130,-,Rs. 180,-,Rs. 150,-,Rs. 130
2022-11-07,Rs. 40,Rs. 150,Rs. 25,Rs. 110,Rs. 100,Rs. 140,-,Rs. 190,-,-,-,-,-,Rs. 190,Rs. 55,Rs. 110,-,Rs. 150,-,Rs. 150,-,Rs. 180,-,Rs. 110,-,Rs. 100,-,Rs. 150,-,Rs. 130,-,Rs. 150,-,Rs. 240,-,Rs. 160,-,Rs. 120,Rs. 70,Rs. 110,Rs. 50,Rs. 105,-,Rs. 150,Rs. 65,Rs. 150,-,-,-,Rs. 170
2022-10-31,Rs. 60,Rs. 160,Rs. 40,Rs. 150,Rs. 100,Rs. 140,-,Rs. 180,-,-,-,-,-,Rs. 190,Rs. 45,Rs. 90,-,Rs. 150,-,Rs. 150,-,Rs. 180,-,Rs. 190,-,-,-,Rs. 190,-,Rs. 130,-,Rs. 170,-,Rs. 150,-,Rs. 170,-,-,Rs. 70,Rs. 120,Rs. 65,Rs. 110,-,Rs. 150,Rs. 75,Rs. 150,-,Rs. 150,-,Rs. 170
2022-10-24,-,Rs. 200,-,Rs. 110,-,Rs. 120,-,Rs. 190,-,-,-,-,-,-,-,Rs. 130,-,Rs. 150,-,Rs. 190,-,Rs. 170,-,Rs. 100,-,Rs. 120,-,Rs. 190,-,Rs. 170,-,Rs. 150,-,Rs. 240,-,Rs. 195,-,Rs. 150,-,Rs. 100,-,Rs. 150,-,Rs. 150,-,Rs. 190,-,Rs. 190,-,Rs. 190
2022-10-10,Rs. 100,Rs. 180,Rs. 83,Rs. 170,Rs. 150,Rs. 170,-,Rs. 180,-,-,-,-,-,Rs. 230,Rs. 95,Rs. 170,-,Rs. 200,-,Rs. 170,-,Rs. 200,-,Rs. 180,-,Rs. 200,-,Rs. 220,-,-,-,Rs. 150,-,Rs. 200,-,Rs. 190,-,Rs. 150,Rs. 110,Rs. 175,Rs. 100,Rs. 170,-,Rs. 190,-,Rs. 220,-,Rs. 220,-,Rs. 220
2022-10-03,Rs. 110,Rs. 200,Rs. 68,Rs. 180,Rs. 130,Rs. 150,-,Rs. 210,-,-,-,-,-,Rs. 220,Rs. 110,Rs. 190,-,Rs. 200,-,Rs. 220,-,Rs. 200,-,Rs. 175,-,Rs. 205,-,Rs. 210,-,-,-,Rs. 190,-,Rs. 190,-,Rs. 195,-,Rs. 215,Rs. 110,Rs. 165,Rs. 115,Rs. 190,-,Rs. 230,-,Rs. 220,-,Rs. 240,-,Rs. 260
2022-09-28,-,Rs. 180,-,Rs. 130,-,Rs. 135,-,Rs. 125,-,-,-,-,-,-,-,Rs. 150,-,Rs. 220,-,Rs. 230,-,Rs. 180,-,Rs. 135,-,Rs. 150,-,Rs. 210,-,-,-,Rs. 210,-,Rs. 155,-,Rs. 190,-,Rs. 165,-,Rs. 190,-,Rs. 155,-,Rs. 150,-,Rs. 190,-,Rs. 250,-,Rs. 225
2022-09-26,Rs. 125,-,Rs. 125,-,Rs. 130,-,-,-,-,-,-,-,-,-,Rs. 125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Rs. 105,-,Rs. 125,-,-,-,-,-,-,-,-,-
2022-08-08,Rs. 90,Rs. 200,Rs. 90,Rs. 150,-,-,-,Rs. 190,-,-,-,-,-,-,Rs. 85,Rs. 150,-,Rs. 230,-,Rs. 190,-,Rs. 190,-,Rs. 190,-,Rs. 190,-,Rs. 190,-,-,-,Rs. 210,-,Rs. 180,-,Rs. 175,-,Rs. 160,Rs. 120,Rs. 175,Rs. 125,Rs. 170,-,Rs. 190,Rs. 120,Rs. 190,-,Rs. 210,-,Rs. 200
Date,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-08-01,Rs. 85,Rs. 180,Rs. 65,Rs. 150,-,-,-,Rs. 210,-,-,-,-,-,-,Rs. 85,Rs. 150,-,Rs. 200,-,Rs. 180,-,Rs. 170,-,Rs. 150,-,Rs. 145,-,Rs. 180,-,-,-,Rs. 150,-,-,-,Rs. 175,-,-,Rs. 125,Rs. 180,Rs. 105,Rs. 145,-,Rs. 170,Rs. 110,Rs. 180,-,Rs. 210,-,Rs. 200
2022-07-25,Rs. 95,Rs. 180,Rs. 75,Rs. 170,-,-,-,Rs. 205,-,-,-,-,-,-,Rs. 85,Rs. 150,-,Rs. 210,-,Rs. 200,-,Rs. 150,-,Rs. 150,-,Rs. 190,-,Rs. 180,-,-,-,Rs. 190,-,-,-,Rs. 175,-,Rs. 170,Rs. 125,Rs. 145,Rs. 120,Rs. 155,-,Rs. 170,-,Rs. 180,-,Rs. 190,-,Rs. 200
2022-07-18,-,Rs. 190,-,Rs. 180,-,-,-,Rs. 110,-,-,-,-,-,-,-,Rs. 170,-,Rs. 220,-,Rs. 180,-,Rs. 150,-,Rs. 210,-,Rs. 190,-,Rs. 180,-,-,-,Rs. 190,-,-,-,Rs. 195,-,Rs. 170,-,Rs. 190,-,Rs. 155,-,Rs. 170,-,Rs. 170,-,Rs. 190,-,Rs. 200
2022-07-11,Rs. 90,Rs. 200,Rs. 73,Rs. 180,Rs. 115,Rs. 130,-,Rs. 190,-,-,-,-,-,-,Rs. 125,Rs. 170,-,Rs. 220,-,Rs. 190,-,Rs. 150,-,Rs. 150,-,Rs. 165,-,Rs. 180,-,-,-,Rs. 170,-,-,-,Rs. 195,-,Rs. 170,Rs. 110,Rs. 140,Rs. 95,Rs. 155,-,Rs. 150,-,Rs. 180,-,Rs. 200,-,Rs. 200
2022-07-04,Rs. 85,Rs. 180,Rs. 45,Rs. 150,Rs. 115,Rs. 130,-,-,-,-,-,-,-,-,Rs. 85,Rs. 150,-,Rs. 230,-,Rs. 180,-,Rs. 150,-,Rs. 135,-,Rs. 150,-,Rs. 180,-,-,-,-,-,-,-,Rs. 185,-,Rs. 165,Rs. 115,Rs. 180,Rs. 85,Rs. 155,-,Rs. 170,-,Rs. 190,-,Rs. 200,-,Rs. 200
2022-06-27,Rs. 90,-,Rs. 55,-,Rs. 95,-,-,-,-,-,-,-,-,-,Rs. 95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Rs. 135,-,Rs. 95,-,-,-,-,-,-,-,-,-
2022-06-20,Rs. 85,Rs. 190,Rs. 63,Rs. 180,Rs. 70,Rs. 125,-,Rs. 125,-,-,-,-,-,-,Rs. 105,Rs. 170,-,Rs. 230,-,Rs. 250,-,Rs. 190,-,Rs. 140,-,Rs. 210,-,Rs. 220,-,-,-,Rs. 250,-,-,-,Rs. 200,-,Rs. 165,Rs. 120,Rs. 180,Rs. 125,Rs. 155,-,Rs. 170,-,Rs. 250,-,Rs. 240,-,Rs. 230
2022-06-13,Rs. 110,Rs. 200,Rs. 90,Rs. 170,Rs. 70,Rs. 135,-,-,-,-,-,-,-,-,Rs. 105,Rs. 170,-,Rs. 220,-,Rs. 230,-,Rs. 190,-,Rs. 180,-,Rs. 210,-,Rs. 210,-,-,-,Rs. 190,-,-,-,Rs. 200,-,Rs. 165,Rs. 115,Rs. 180,Rs. 115,Rs. 170,-,Rs. 190,-,Rs. 210,-,Rs. 230,-,Rs. 200
2022-05-16,Rs. 95,Rs. 200,Rs. 90,Rs. 150,Rs. 70,Rs. 90,-,Rs. 190,-,-,-,-,-,-,Rs. 90,Rs. 170,-,Rs. 220,-,Rs. 170,-,Rs. 150,-,Rs. 150,-,Rs. 145,-,Rs. 190,-,-,-,Rs. 190,-,Rs. 90,-,Rs. 170,-,Rs. 150,Rs. 110,Rs. 150,Rs. 105,Rs. 165,-,Rs. 150,Rs. 120,Rs. 160,-,Rs. 190,-,Rs. 170
2022-03-21,-,Rs. 140,-,Rs. 90,-,Rs. 80,-,Rs. 120,-,-,-,-,-,Rs. 90,-,Rs. 75,-,Rs. 120,-,Rs. 120,-,Rs. 70,-,Rs. 110,-,Rs. 90,-,Rs. 150,-,-,-,Rs. 130,-,-,-,Rs. 110,-,Rs. 90,-,Rs. 110,-,Rs. 95,-,Rs. 110,-,Rs. 120,-,Rs. 130,-,Rs. 120
